time_ind,v_la,v_lv,v_sas,v_sat,v_svn,v_ra,v_rv,v_pas,v_pat,v_pvn,p_lv,q_ao,p_sas,p_sat,q_sas,p_svn,q_sat,p_ra,q_svn,q_ti,p_rv,q_po,p_pas,p_pat,q_pas,p_pvn,q_pat,p_la,q_pvn,q_mi,T
0,57.793680002430015,101.33429165731272,4.047633175780086,80.9428795787386,88.38776032010107,39.38646043687261,94.56654195171768,5.762144920806185,94.3178961651913,63.46071179104562,2.565802464226381,-0.0,50.59541469725105,50.589299736711,2.0615142277437197,4.311598064395179,43.28753627889714,0.08644009967040826,56.33543952966361,-0.0,0.6204912501262699,-0.0,21.85105685972002,21.850625768534105,2.658255592646092,2.1433548713636505,43.39767615512087,0.38127539819885903,277.44795557497014,-0.0,7.137144576013088
1,57.99123462070866,101.33429165731272,4.04616212877141,80.9134616787615,88.37844579311307,39.42666391084635,94.56654195171768,5.760257973004832,94.28881030122862,63.29412998453097,2.5699408176510805,-0.0,50.5770266096426,50.570913549225324,2.060716099693005,4.311143697225034,43.27076231916954,0.08681365594955029,56.32440055033978,-0.0,0.6220261261233014,-0.0,21.843901225096918,21.843887446811056,2.62874055086071,2.1377286513544993,43.395601161857755,0.38389115080042296,276.1502170304987,-0.0,7.13785829047069
2,58.18786558618999,101.33429165731272,4.044691649076682,80.88405517367096,88.36912718006545,39.46685950867928,94.56654195171768,5.7583934782359965,94.2597034897477,63.12847032529942,2.5823405716940635,-0.0,50.558645613458495,50.552534483543724,2.0599234325967393,4.310689130734905,43.253995204827106,0.08718747091940555,56.31335546420665,-0.0,0.6266250771785884,-0.0,21.8368307362827,21.837144272176722,2.5954747977985457,2.132133576424178,43.39345467770619,0.38650237735950127,274.8580950770113,-0.0,7.138572004928291
3,58.38357634622709,101.33429165731272,4.043221733388542,80.85466006906186,88.35980448774644,39.50704722129551,94.56654195171768,5.75655374656441,94.23057347309576,62.96372931358585,2.6030053237718374,-0.0,50.54027166735675,50.53416254316305,2.0591354415843783,4.31023436525593,43.23723493859831,0.08756154479419449,56.302304272823136,-0.0,0.63428943753976,-0.0,21.829854153445062,21.830395721600723,2.559544772415301,2.1265695283698123,43.3912352385593,0.3891090427352083,273.5715766359951,-0.0,7.139285719385892
4,58.57837089414956,101.33429165731272,4.041752378792042,80.82527636296207,88.3504777253987,39.547227044339515,94.56654195171768,5.754740261071148,94.20141882073683,62.79990290351557,2.631932799951877,-0.0,50.52190473490051,50.51579772685068,2.058350902482114,4.309779401238968,43.2204815191127,0.08793587763297041,56.2912469814133,-0.0,0.645018363826831,-0.0,21.82297710068569,21.82364146367081,2.522111798921064,2.121036370543939,43.38894155991445,0.3917111148783292,272.29064523794875,-0.0,7.139999433843493
5,58.77225321164218,101.33429165731272,4.040283583349867,80.79590405242273,88.34114690226014,39.587398973459614,94.56654195171768,5.752953669759059,94.17223893805668,62.63698706001517,2.6691198287825135,-0.0,50.50354479187332,50.49744003276359,2.057568309781389,4.309324239134647,43.20373494481812,0.08831046949463299,56.28018359520019,-0.0,0.6588106797784861,-0.0,21.816202035344205,21.81688136063271,2.4843695257139626,2.115533966663903,43.3865725418307,0.3943085621424017,271.01528440739656,-0.0,7.140713148301095
6,58.9652272689039,101.33429165731272,4.0388153462401375,80.76654313338076,88.33181202756418,39.62756300430726,94.56654195171768,5.751193774348538,94.14303407742969,62.47497775879096,2.7145623388065308,-0.0,50.485191828001696,50.47908945836235,2.0567860373554363,4.308868879393382,43.18699521382745,0.08868532043792654,56.26911411940607,-0.0,0.6756648753298968,-0.0,21.809528205509835,21.81011547095399,2.447507613808418,2.1100621808111297,43.38412731014901,0.3969013532827044,269.7454776629328,-0.0,7.141426862758696
7,59.157297019851526,101.33429165731272,4.037347667805141,80.73719360061554,88.32247311052875,39.66771913254293,94.56654195171768,5.749459532084325,94.11380533618305,62.31387099135419,2.768255348233339,-0.0,50.46684584756426,50.46074600038409,2.0560025147159275,4.308413322464823,43.17026232379186,0.08906043052137513,56.258038559245975,-0.0,0.695579102782229,-0.0,21.802951656873056,21.803344048852423,2.4126721989780315,2.10462087760085,43.381605257286594,0.39948945749881115,268.48120853724555,-0.0,7.142140577216297
8,59.348466418658816,101.33429165731272,4.035880549440242,80.70785544784071,88.31313016039412,39.70786735381725,94.56654195171768,5.747749106323384,94.08455460602802,62.15366274846287,2.8301929596910207,-0.0,50.44850686800301,50.44240965489984,2.0552163862847865,4.307957568799719,43.153536271827484,0.08943579980352052,56.24695691994933,-0.0,0.7185511748562265,-0.0,21.796465424563674,21.79656753258075,2.380935046716613,2.099209921622852,43.37900606280837,0.4020728442996828,267.22246051030254,-0.0,7.142854291673898
9,59.53873939620906,101.33429165731272,4.034413993377049,80.67852866795005,88.30378318636762,39.74800766379761,94.56654195171768,5.746059942564026,94.05528449649225,61.994349044207766,2.90036839093065,-0.0,50.430174917213094,50.42408041746816,2.0544266520195835,4.307501618847209,43.13681705452525,0.0898114283425792,56.2358692067284,-0.0,0.7445785760801508,-0.0,21.790059821466496,21.789786526688186,2.353254592042369,2.0938291782549787,43.37632971255767,0.4046514836864123,265.9692171086659,-0.0,7.1435680061315
10,59.72811987539849,101.33429165731272,4.032948002415791,80.6492132532667,88.29443219765916,39.78814005815069,94.56654195171768,5.744388845599416,94.02599825776421,61.83592590071097,2.978773950289319,-0.0,50.411850030197364,50.40575828329107,2.0536327558811416,4.307045473056553,43.12010466798137,0.09018731619666381,56.22477542479852,-0.0,0.7736584536892516,-0.0,21.78372273080084,21.783001784145863,2.3304513105695785,2.0884785131463257,43.37357650559453,0.4072253460343061,264.7214618426859,-0.0,7.144281720589101
11,59.916611767138875,101.33429165731272,4.031482579584123,80.61990919588928,88.28507720347177,39.82826453254715,94.56654195171768,5.742732082038662,93.99669967788857,61.67838935240698,3.065401026935363,-0.0,50.39353224480152,50.387443247430184,2.052834636552096,4.306589131876679,43.10339910789441,0.0905634634237284,56.21367557937268,-0.0,0.8057876140078127,-0.0,21.777439994898373,21.776214182530037,2.3131796790498638,2.0831577923618356,43.370747056467835,0.4097944021285702,263.47917822364946,-0.0,7.144995435046702
12,60.10421897077622,101.33429165731272,4.03001772774061,80.59061648808878,88.27571821300174,39.86838108266124,94.56654195171768,5.7410855409446135,93.96739292188705,61.5217354458652,3.1602401241172013,-0.0,50.3752215967576,50.36913530505487,2.052032704749422,4.306132595756188,43.086700369726756,0.09093987008157035,56.20256967566158,-0.0,0.8409625347808326,-0.0,21.771196024369623,21.76942468675124,2.3019116202316083,2.0778668823762994,43.36784227046804,0.4123586231490296,262.24234976524133,-0.0,7.145709149504304
13,60.2909453738729,101.33429165731272,4.0285534493449235,80.56133512253827,88.26635523543834,39.90848970417083,94.56654195171768,5.739444825441048,93.9380824400028,61.36596024015634,3.263280843039871,-0.0,50.356918116811514,50.35083445158579,2.051227791791616,4.30567586514334,43.070008448822435,0.09131653622782851,56.191457718873494,-0.0,0.8791793591939816,-0.0,21.764974145494346,21.76263432779724,2.2969266413136102,2.0726056500867363,43.364863329921405,0.4149179806770898,261.01095998439735,-0.0,7.146422863961905
14,60.476794852211356,101.33429165731272,4.027089746157697,80.5320650926131,88.25698827996385,39.94859039275772,94.56654195171768,5.7378054029715,93.90877281723733,61.2110598070529,3.3745118840698494,-0.0,50.33862182697117,50.33254068288256,2.0504210528369264,4.305218940486048,43.05332334057981,0.0916934619199846,56.180339714214185,-0.0,0.9204338963204612,-0.0,21.758757170029217,21.75584416787527,2.298303351427312,2.0673739628191585,43.36181166362919,0.41747244669485617,259.78499240250835,-0.0,7.147136578419507
15,60.661771269813975,101.33429165731272,4.025626619029745,80.5028063926018,88.24761735575359,39.98868314410723,94.56654195171768,5.736162759115115,93.87946861935579,61.05703023118821,3.493921049426207,-0.0,50.32033273787177,50.314253995375495,2.049613836493981,4.304761822231889,43.036645040612875,0.09207064721535976,56.169215666887055,-0.0,0.9647216221191273,-0.0,21.75252797850428,21.749055264736093,2.305917752981295,2.0621716883339514,43.35868890823268,0.42002199358357084,258.5644305465132,-0.0,7.1478502928771075
16,60.84587847894926,101.33429165731272,4.024164067811628,80.47355901779603,88.23824247197615,40.02876795390854,94.56654195171768,5.7345125420862555,93.85017424825115,60.90386761018643,3.621495244534907,-0.0,50.30205084764532,50.2959743861219,2.0488075343830934,4.3043045108281115,43.019973544880266,0.0924480921711182,56.15808558209325,-0.0,1.0120376799367843,-0.0,21.74627006819066,21.742268638166188,2.3194494413224898,2.056998694830256,43.355496863689766,0.4225665941227385,257.3492579497267,-0.0,7.148564007334709
17,61.02912032013437,101.33429165731272,4.022702091375289,80.44432296446904,88.22886363779365,40.0688448178544,94.56654195171768,5.732850690619453,93.82089381396699,60.75156805475227,3.7572204793718784,-0.0,50.283776142191094,50.277701852792525,2.048003437457764,4.303847006721648,43.003308849768935,0.09282579684426297,56.14694946503181,-0.0,1.0623768810063219,-0.0,21.739968038062543,21.7354852403393,2.338393632737899,2.051854850949003,43.35223744697559,0.4251062214892454,256.1394581524557,-0.0,7.14927772179231
18,61.21150062214263,101.33429165731272,4.02124068773984,80.41509822974906,88.21948086236203,40.108913731641444,94.56654195171768,5.731173564365282,93.79163100423418,60.60012768873099,3.901081870047958,-0.0,50.26550859674797,50.259436393592544,2.0472025929409776,4.3033893103591305,42.98665095213833,0.09320376129164007,56.13580732089987,-0.0,1.1157337050345515,-0.0,21.733608083281034,21.728705925591996,2.362079913887301,2.0467400257749397,43.34891263803726,0.4276408492564148,254.93501470246756,-0.0,7.149991436249912
19,61.39302320200768,101.33429165731272,4.019779854309496,80.38588481138147,88.2100941548316,40.14897469096982,94.56654195171768,5.729478072070196,93.76238895625877,60.44954264913644,4.053063640661601,-0.0,50.24724817886868,50.24117800711281,2.0464056805265294,4.302931422186914,42.96999984931134,0.09358198556993394,56.124659154893074,-0.0,1.1721023008893616,-0.0,21.72717848127444,21.72193142072076,2.389698580451495,2.0416540888375763,43.34552441833063,0.43017045139286697,253.73591115531792,-0.0,7.150705150707513
